month,date,tier,bucket_name,unlock_tokens,unlock_pct_of_bucket,cumulative_tokens,cumulative_pct_of_bucket,notes
17,2026-07-05,tier_1_profit_seeking,Seed Round 1,6250000,2.1,112500000,37.5,Linear vesting
17,2026-07-05,tier_1_profit_seeking,Seed Round 2,1250000,2.1,21250000,35.4,Linear vesting
17,2026-07-05,tier_1_profit_seeking,Strategic Round,1250000,2.1,22500000,37.5,Linear vesting
17,2026-07-05,tier_1_profit_seeking,Team,13333000,2.8,79998000,16.7,Linear vesting
17,2026-07-05,tier_2_entity_controlled,Foundation Reserve,14700000,1.5,196200000,19.8,Linear vesting
17,2026-07-05,tier_2_entity_controlled,Development Company,3214000,1.8,83568000,46.4,Linear vesting
17,2026-07-05,tier_3_community,Community Incentives,13964000,2.0,271068000,39.3,Linear vesting
18,2026-08-05,tier_1_profit_seeking,Seed Round 1,6250000,2.1,118750000,39.6,Linear vesting
18,2026-08-05,tier_1_profit_seeking,Seed Round 2,1250000,2.1,22500000,37.5,Linear vesting
18,2026-08-05,tier_1_profit_seeking,Strategic Round,1250000,2.1,23750000,39.6,Linear vesting
18,2026-08-05,tier_1_profit_seeking,Team,13333000,2.8,93331000,19.4,Linear vesting
18,2026-08-05,tier_2_entity_controlled,Foundation Reserve,14700000,1.5,210900000,21.3,Linear vesting
18,2026-08-05,tier_2_entity_controlled,Development Company,3214000,1.8,86782000,48.2,Linear vesting
18,2026-08-05,tier_3_community,Community Incentives,13964000,2.0,285032000,41.3,Linear vesting
19,2026-09-05,tier_1_profit_seeking,Seed Round 1,6250000,2.1,125000000,41.7,Linear vesting
19,2026-09-05,tier_1_profit_seeking,Seed Round 2,1250000,2.1,23750000,39.6,Linear vesting
19,2026-09-05,tier_1_profit_seeking,Strategic Round,1250000,2.1,25000000,41.7,Linear vesting
19,2026-09-05,tier_1_profit_seeking,Team,13333000,2.8,106664000,22.2,Linear vesting
19,2026-09-05,tier_2_entity_controlled,Foundation Reserve,14700000,1.5,225600000,22.8,Linear vesting
19,2026-09-05,tier_2_entity_controlled,Development Company,3214000,1.8,89996000,50.0,Linear vesting
19,2026-09-05,tier_3_community,Community Incentives,13964000,2.0,298996000,43.3,Linear vesting
20,2026-10-05,tier_1_profit_seeking,Seed Round 1,6250000,2.1,131250000,43.8,Linear vesting
20,2026-10-05,tier_1_profit_seeking,Seed Round 2,1250000,2.1,25000000,41.7,Linear vesting
20,2026-10-05,tier_1_profit_seeking,Strategic Round,1250000,2.1,26250000,43.8,Linear vesting
20,2026-10-05,tier_1_profit_seeking,Team,13333000,2.8,119997000,25.0,Linear vesting
20,2026-10-05,tier_2_entity_controlled,Foundation Reserve,14700000,1.5,240300000,24.3,Linear vesting
20,2026-10-05,tier_2_entity_controlled,Development Company,3214000,1.8,93210000,51.8,Linear vesting
20,2026-10-05,tier_3_community,Community Incentives,13964000,2.0,312960000,45.4,Linear vesting
21,2026-11-05,tier_1_profit_seeking,Seed Round 1,6250000,2.1,137500000,45.8,Linear vesting
21,2026-11-05,tier_1_profit_seeking,Seed Round 2,1250000,2.1,26250000,43.8,Linear vesting
21,2026-11-05,tier_1_profit_seeking,Strategic Round,1250000,2.1,27500000,45.8,Linear vesting
21,2026-11-05,tier_1_profit_seeking,Team,13333000,2.8,133330000,27.8,Linear vesting
21,2026-11-05,tier_2_entity_controlled,Foundation Reserve,14700000,1.5,255000000,25.8,Linear vesting
